protocol,key,backbone,dataset,pred_len,mse_best_fixed_val,mse_selector,abs_mse_delta_vs_bf,rel_pct_delta_vs_bf,worse_than_bf
"static gate (in-pool clf, 96 groups)",DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,0.4737760421385666,0.4762378171556758,0.0024617750171092023,0.519607324590972,True
"static gate (in-pool clf, 96 groups)",DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,0.182897411131624,0.1791374080832762,-0.0037600030483478097,-2.055798944929781,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,0.2458672986831721,0.2360156777557598,-0.009851620927412291,-4.006885413463309,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,0.3064732617907189,0.2989989764801908,-0.007474285310528073,-2.438805025552941,False
"static gate (in-pool clf, 96 groups)",DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,0.4102858028789961,0.4072049953120719,-0.003080807566924193,-0.750893047067681,False
"static gate (in-pool clf, 96 groups)",DLinear__Electricity__h96__s2021,DLinear,Electricity,96,0.1970328139298075,0.1973135972891403,0.0002807833593327924,0.14250588708174305,True
"static gate (in-pool clf, 96 groups)",DLinear__Electricity__h192__s2021,DLinear,Electricity,192,0.1961283894536128,0.1961359868939869,7.597440374096376e-06,0.0038737076234918455,True
"static gate (in-pool clf, 96 groups)",DLinear__Electricity__h336__s2021,DLinear,Electricity,336,0.2098145837106075,0.2099589637300084,0.00014438001940092482,0.06881314770762786,True
"static gate (in-pool clf, 96 groups)",DLinear__Electricity__h720__s2021,DLinear,Electricity,720,0.246230234418034,0.2462823602287445,5.21258107105127e-05,0.021169541114117132,True
"static gate (in-pool clf, 96 groups)",DLinear__Exchange__h96__s2021,DLinear,Exchange,96,0.088676609442099,0.0923667690256917,0.0036901595835927004,4.161367475379371,True
"static gate (in-pool clf, 96 groups)",DLinear__Exchange__h192__s2021,DLinear,Exchange,192,0.179537176594228,0.1832301847771552,0.003693008182927199,2.0569601533134096,True
"static gate (in-pool clf, 96 groups)",DLinear__Exchange__h336__s2021,DLinear,Exchange,336,0.3238748066606356,0.3302881481242563,0.006413341463620659,1.9801915220718984,True
"static gate (in-pool clf, 96 groups)",DLinear__Exchange__h720__s2021,DLinear,Exchange,720,0.8817172627475925,0.8817172627475925,0.0,0.0,False
"static gate (in-pool clf, 96 groups)",DLinear__ILI__h24__s2021,DLinear,ILI,24,4.796501366531148,4.752629231705385,-0.043872134825762465,-0.9146694949758973,False
"static gate (in-pool clf, 96 groups)",DLinear__ILI__h36__s2021,DLinear,ILI,36,4.36402454632747,4.259263861028454,-0.10476068529901639,-2.4005521551701032,False
"static gate (in-pool clf, 96 groups)",DLinear__ILI__h48__s2021,DLinear,ILI,48,4.008537466395391,4.008537466395391,0.0,0.0,False
"static gate (in-pool clf, 96 groups)",DLinear__ILI__h60__s2021,DLinear,ILI,60,4.02952110500478,4.02952110500478,0.0,0.0,False
"static gate (in-pool clf, 96 groups)",DLinear__Weather__h96__s2021,DLinear,Weather,96,0.1960141180332483,0.1954191456658017,-0.0005949723674466001,-0.3035354664329228,False
"static gate (in-pool clf, 96 groups)",DLinear__Weather__h192__s2021,DLinear,Weather,192,0.2366138971653692,0.2359199745884395,-0.0006939225769297119,-0.2932721134484887,False
"static gate (in-pool clf, 96 groups)",DLinear__Weather__h336__s2021,DLinear,Weather,336,0.2818512427114952,0.2818767856069052,2.5542895410013422e-05,0.009062544895769468,True
"static gate (in-pool clf, 96 groups)",DLinear__Weather__h720__s2021,DLinear,Weather,720,0.3461667132702354,0.3447606596784655,-0.001406053591769929,-0.4061781615242399,False
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,0.3838058475264527,0.3856357538480733,0.0018299063216206113,0.4767791667099315,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,0.4312298646333183,0.4324634773119891,0.0012336126786707813,0.2860684706333459,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,0.4701711084847366,0.471560616085712,0.0013895076009753926,0.2955323234244413,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,0.4747171934447537,0.4744938001043539,-0.0002233933403998356,-0.04705819453868875,False
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,0.2869951405032426,0.2906969758456228,0.003701835342380222,1.2898599383561329,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,0.3701321660610613,0.3739481795622142,0.003816013501152904,1.0309867261099837,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,0.4164699554428722,0.4184651796792017,0.001995224236329529,0.4790799937075454,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,0.4232737978007549,0.4258105920482046,0.0025367942474496807,0.5993270220434977,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,0.3284638750771594,0.3421290921731251,0.013665217095965687,4.16034094853067,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,0.3695341113421095,0.3775023202285971,0.007968208886487582,2.156285074075537,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,0.4003663015528134,0.4115399731706976,0.01117367161788424,2.7908621616123432,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,0.4627600083010868,0.4719756984490508,0.009215690147963973,1.9914620932342846,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,0.1765072794330328,0.1821316311705686,0.00562435173753581,3.1864701306382663,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,0.2421220923987764,0.2468423982037325,0.004720305804956082,1.9495560104369627,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,0.3031867550615226,0.3078366697041062,0.00464991464258363,1.5336800057905138,True
"static gate (in-pool clf, 96 groups)",PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,0.4003962972526909,0.4132071850458711,0.012810887793180237,3.1995520141124736,True
"static gate (in-pool clf, 96 groups)",PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,0.1921811645974956,0.1922025461568491,2.138155935349495e-05,0.011125730972791485,True
"static gate (in-pool clf, 96 groups)",PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,0.1961862632442941,0.1966085137450664,0.00042225050077229764,0.21522939159430593,True
"static gate (in-pool clf, 96 groups)",PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,0.2118824693076501,0.2120262332646375,0.0001437639569873972,0.06785080306887217,True
"static gate (in-pool clf, 96 groups)",PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,0.2535597536498769,0.2555617265857755,0.0020019729358985994,0.7895468058637513,True
