backbone,dataset,pred_len,plugin,n_seeds,seeds
iTransformer,ETTm2,192,san_lite,1,2021
iTransformer,ETTm2,336,fredf,1,2021
iTransformer,ETTm2,336,none,1,2021
iTransformer,ETTm2,336,san_lite,1,2021
iTransformer,ETTm2,720,fredf,1,2021
iTransformer,ETTm2,720,none,1,2021
iTransformer,ETTm2,720,san_lite,1,2021
iTransformer,Electricity,96,fredf,1,2021
iTransformer,Electricity,96,none,1,2021
iTransformer,Electricity,96,san_lite,1,2021
iTransformer,Electricity,192,fredf,1,2021
iTransformer,Electricity,192,none,1,2021
iTransformer,Electricity,192,san_lite,1,2021
iTransformer,Electricity,336,fredf,1,2021
iTransformer,Electricity,336,none,1,2021
iTransformer,Electricity,336,san_lite,1,2021
iTransformer,Electricity,720,fredf,1,2021
iTransformer,Electricity,720,none,1,2021
iTransformer,Electricity,720,san_lite,1,2021
iTransformer,Exchange,96,fredf,3,2021|2022|2023
iTransformer,Exchange,96,none,3,2021|2022|2023
iTransformer,Exchange,96,san_lite,3,2021|2022|2023
iTransformer,Exchange,192,fredf,3,2021|2022|2023
iTransformer,Exchange,192,none,3,2021|2022|2023
iTransformer,Exchange,192,san_lite,3,2021|2022|2023
iTransformer,Exchange,336,fredf,3,2021|2022|2023
iTransformer,Exchange,336,none,3,2021|2022|2023
iTransformer,Exchange,336,san_lite,3,2021|2022|2023
iTransformer,Exchange,720,fredf,3,2021|2022|2023
iTransformer,Exchange,720,none,3,2021|2022|2023
iTransformer,Exchange,720,san_lite,3,2021|2022|2023
iTransformer,ILI,24,fredf,3,2021|2022|2023
iTransformer,ILI,24,none,3,2021|2022|2023
iTransformer,ILI,24,san_lite,3,2021|2022|2023
iTransformer,ILI,36,fredf,3,2021|2022|2023
iTransformer,ILI,36,none,3,2021|2022|2023
iTransformer,ILI,36,san_lite,3,2021|2022|2023
iTransformer,ILI,48,fredf,3,2021|2022|2023
iTransformer,ILI,48,none,3,2021|2022|2023
iTransformer,ILI,48,san_lite,3,2021|2022|2023
iTransformer,ILI,60,fredf,3,2021|2022|2023
iTransformer,ILI,60,none,3,2021|2022|2023
iTransformer,ILI,60,san_lite,3,2021|2022|2023
iTransformer,Weather,96,fredf,1,2021
iTransformer,Weather,96,none,1,2021
iTransformer,Weather,96,revin,1,2021
iTransformer,Weather,96,san_lite,1,2021
iTransformer,Weather,192,fredf,1,2021
iTransformer,Weather,192,none,1,2021
iTransformer,Weather,192,san_lite,1,2021
iTransformer,Weather,336,fredf,1,2021
iTransformer,Weather,336,none,1,2021
iTransformer,Weather,336,san_lite,1,2021
iTransformer,Weather,720,fredf,1,2021
iTransformer,Weather,720,none,1,2021
iTransformer,Weather,720,revin,1,2021
iTransformer,Weather,720,san_lite,1,2021
