key,backbone,dataset,pred_len,seed,n_train_datasets,arms,mse_none,mse_gate,mse_best_fixed,mse_oracle,best_fixed_val,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_oracle_vs_none,switch_rate,wilcoxon_p_gate_vs_best_fixed
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,2021,6,fredf|none|revin|san_lite,0.36900016046764067,0.31648649370691634,0.30647326179071893,0.261187234084935,revin,14.231339816771484,-3.2672448675155423,29.217582519687852,0.8234242288779615,5.347214093414469e-109
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,2021,6,fredf|none|revin|san_lite,0.21252407488030226,0.2157845863351967,0.20981458371060754,0.20913195049702213,fredf,-1.5341845184906657,-2.8453706691785516,1.5961129981037097,0.4416243654822335,0.0
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,2021,6,fredf|none|revin|san_lite,0.3269648065699135,0.32684484670055297,0.3238748066606356,0.22923919874954143,revin,0.03668892399112485,-0.9170333656178046,29.888723757545122,0.004230118443316413,0.16208402666631516
DLinear__Weather__h336__s2021,DLinear,Weather,336,2021,6,fredf|none|revin|san_lite,0.2818512427114952,0.2854680061922272,0.2818512427114952,0.25820246212708686,none,-1.2832171488494335,-1.2832171488494335,8.390518472374266,0.7064876519012152,0.7153840384122581
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2021,6,fredf|none|revin|san_lite,0.5200704373126226,0.5026889421331943,0.5200704373126226,0.47054643724208517,none,3.342142512312542,3.342142512312542,9.522556276482321,0.7033780657103192,1.3981752572603182e-168
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2021,6,fredf|none|revin|san_lite,0.8185345516856872,0.5422291399041352,0.4198238453045591,0.3972509660547335,revin,33.75610854938158,-29.156346398210495,51.468027191136784,0.9750115687181861,7.728488918560519e-104
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,2021,6,fredf|none|revin|san_lite,0.47377604213856667,0.4751581685439424,0.47377604213856667,0.4539263708060477,none,-0.29172568522757103,-0.29172568522757103,4.189673931775466,0.1385056939172299,0.0639214034402103
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,2021,6,fredf|none|revin|san_lite,0.5414378134111775,0.45059529463988623,0.4102858028789961,0.3432634106191642,san_lite,16.77801522557052,-9.824734728313334,36.601507667723624,0.7953893158040922,1.9104850024204482e-185
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,2021,6,fredf|none|revin|san_lite,0.24783826184427651,0.24815842535849633,0.246230234418034,0.24469787743458582,fredf,-0.1291824401268975,-0.7830845570251753,1.2671104075331239,0.05131028407839683,4.237247046585965e-188
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,2021,6,fredf|none|revin|san_lite,0.749057583828319,0.749057583828319,0.8817172627475925,0.5543054330319092,san_lite,0.0,15.045602998146054,25.9996233935449,0.0,4.070556090547953e-11
DLinear__Weather__h720__s2021,DLinear,Weather,720,2021,6,fredf|none|revin|san_lite,0.34616671327023546,0.346181455498861,0.34616671327023546,0.31684808254909613,none,-0.004258707744082925,-0.004258707744082925,8.469511826854076,0.5836048879837067,1.199724761564291e-12
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2021,6,fredf|none|revin|san_lite,0.39584203343738134,0.3910222659365707,0.39584203343738134,0.3802207345112864,none,1.217598712027866,1.217598712027866,3.9463466753150196,0.837342908438061,4.0116709389613976e-75
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2021,6,fredf|none|revin|san_lite,0.3509214525938676,0.3104896813189641,0.2940500818219711,0.262141147118122,revin,11.521601479742316,-5.5907481457156045,25.299195822673415,0.43303411131059244,4.381459643903408e-45
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,2021,6,fredf|none|revin|san_lite,0.34551366184159493,0.34696146239092496,0.34224999223043023,0.3262474579342867,fredf,-0.4190284521917391,-1.3766165865414592,5.576104807133584,0.2176805251641138,4.760210395460784e-157
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,2021,6,fredf|none|revin|san_lite,0.19666471831810292,0.1871520171753035,0.18289741113162405,0.15754895589194165,fredf,4.837014602367248,-2.3262254054510967,19.88956776817135,0.8985557986870897,9.208328400929116e-71
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,2021,6,fredf|none|revin|san_lite,0.19984779237316053,0.20321913381311807,0.19703281392980754,0.19554116277588532,fredf,-1.6869545567186575,-3.13974091923744,2.1549548014081723,0.7047434656340755,0.0
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,2021,6,fredf|none|revin|san_lite,0.09472576809101299,0.09395929769666554,0.08867660944209907,0.07268455533543929,revin,0.8091466659873675,-5.957251058359649,23.268444478764966,0.21659634317862167,5.773109543031014e-11
DLinear__Weather__h96__s2021,DLinear,Weather,96,2021,6,fredf|none|revin|san_lite,0.19601411803324834,0.19658655221372479,0.19601411803324834,0.1745577818695891,none,-0.2920372196743665,-0.2920372196743665,10.946321815406334,0.7693412485637686,4.102919934600822e-08
