key,backbone,dataset,pred_len,mse_random_gate,mse_shuffled_feat_gate,gain_random_vs_none,gain_shuffled_vs_none,gain_random_vs_best_fixed,gain_shuffled_vs_best_fixed,gate_minus_random,gate_minus_shuffled
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,0.4739560313905516,0.4746060766593443,0.1603401066384925,0.02340694353261913,0.1603401066384925,0.02340694353261913,-0.07189340586788288,0.06517028557356933
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,0.29223410971957653,0.2873753710767953,-1.8254557227447155,-0.13248676367294307,-1.8254557227447155,-0.13248676367294307,-0.49059094801552106,-2.189614478263944
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,0.37606239588913887,0.3717245747907071,-1.6021925063068316,-0.430227058239169,-1.6021925063068316,-0.430227058239169,0.2981122999304605,-0.8653538288859612
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,0.4175277865105739,0.4164969990676185,-0.25399937111291837,-0.006493535582294673,-0.25399937111291837,-0.006493535582294673,0.6899603970197155,0.4441782136880954
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,0.42316354921726324,0.4230682211988837,0.05972629748369978,0.0822403071756223,0.026046635549921413,0.04856823241573396,-0.40672219002159293,-0.4293463753863361
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,0.3399602487234631,0.32846387507715946,-3.5000420194056385,0.0,-3.5000420194056385,0.0,0.6258741806935226,-2.852261979399232
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,0.38181317169848955,0.3695341113421095,-3.3228489547962283,0.0,-3.3228489547962283,0.0,1.2109241169573528,-2.071687658475183
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,0.4095236540775934,0.4003663015528135,-2.287243579002641,-1.3865090797057641e-14,-2.287243579002641,-1.3865090797057641e-14,0.09267313288016456,-2.1924507858412
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,0.4710167609429031,0.4627600083010869,-1.7842407497811144,-1.1995667351406152e-14,-1.7842407497811144,-1.1995667351406152e-14,0.7828037750843053,-0.9874698707509179
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,0.18140583773076338,0.17651876845929765,-2.7752726762531466,-0.006509094866574845,-2.7752726762531466,-0.006509094866574845,-0.4054334046081343,-3.185241538099754
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,0.24686776019247433,0.24215712640722228,-1.9600308863439542,-0.014469562896379903,-1.9600308863439542,-0.014469562896379903,-0.12501701463958806,-2.072728795390563
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,0.30890580570419346,0.30400051112393744,-1.8863128244145877,-0.2684009274240832,-1.8863128244145877,-0.2684009274240832,0.25574799494327005,-1.353706334464136
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,0.41167294562722445,0.40059751181547404,-2.816371792616427,-0.05025385203691559,-2.816371792616427,-0.05025385203691559,-0.0005309116705603979,-2.7652741479178955
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,0.19281121553894626,0.1921811645974956,-0.32784219138590476,0.0,-0.32784219138590476,0.0,0.23281599777282028,-0.09426292454408908
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,0.19660877310846375,0.1961862632442941,-0.21536159422200257,0.0,-0.21536159422200257,0.0,0.15583730083635863,-0.05918867969017023
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,0.21246275846728216,0.21188246930765015,-0.27387313425476273,1.309951488964254e-14,-0.27387313425476273,1.309951488964254e-14,0.21839451115849054,-0.054880499203535146
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,0.2558374457469834,0.2535597536498769,-0.8982861295261659,0.0,-0.8982861295261659,0.0,0.4161247316801525,-0.4784234070998026
