key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,0.5,360,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,1.0,720,True,False,6.2455570228132675,5.293134149106951,-0.8269898923903494,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,3000,2.0,1440,True,True,,,,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.0,0,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.125,90,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.25,180,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,0.5,360,False,False,7.014537399908433,6.069926363991553,0.0,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,1.0,720,True,False,6.2455570228132675,5.293134149106951,-0.8269898923903494,9.861492425867768
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,1080,1081,1000000000,2.0,1440,True,True,,,,9.861492425867768
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.0,0,False,False,20.155531427392653,6.5808489842276305,6.5808489842276305,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.125,12,False,False,17.627241474407306,3.6227141860128285,3.6227141860128285,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.25,24,False,False,15.92638074294238,1.6326832124203567,1.6326832124203567,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,0.5,48,False,False,13.927722639864808,-0.7057748736336775,-0.7057748736336775,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,1.0,96,True,False,10.669555509243377,-4.517876233333535,-4.517876233333535,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,50,2.0,192,True,False,8.856783145437085,-6.638845390484863,-6.638845390484863,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.0,0,False,False,15.091942284342625,0.6563784818501764,0.6563784818501764,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.125,12,False,False,13.306622128591563,-1.4324712058391438,-1.4324712058391438,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.25,24,False,False,11.699813558975995,-3.312459827491163,-3.312459827491163,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,0.5,48,False,False,10.361275025124002,-4.8785687348431965,-4.8785687348431965,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,1.0,96,True,False,9.465334682640266,-5.926831534407067,-5.926831534407067,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,200,2.0,192,True,False,10.54085222420085,-4.668460886679686,-4.668460886679686,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.0,0,False,False,14.23227226950805,-0.34944752432496806,-0.34944752432496806,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.125,12,False,False,13.42579876649329,-1.2930328636129793,-1.2930328636129793,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.25,24,False,False,13.11862465967838,-1.6524308881183623,-1.6524308881183623,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,0.5,48,False,False,13.458382484411608,-1.2549094554510412,-1.2549094554510412,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,1.0,96,True,False,13.708698599255653,-0.962036081097845,-0.962036081097845,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000,2.0,192,True,False,14.200112374680112,-0.3870750535112941,-0.3870750535112941,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.0,0,False,False,14.548233571377898,0.020231641961648433,0.020231641961648433,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.125,12,False,False,14.20353011478249,-0.38307624953069713,-0.38307624953069713,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.25,24,False,False,14.098859805874083,-0.5055419828443346,-0.5055419828443346,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.5,48,False,False,14.346213182955529,-0.21613505333587804,-0.21613505333587804,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,1.0,96,True,False,14.40008181378467,-0.15310799775638714,-0.15310799775638714,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,2.0,192,True,False,14.114204520759612,-0.4875884506484066,-0.4875884506484066,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.0,0,False,False,14.548233571377898,0.020231641961648433,0.020231641961648433,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.125,12,False,False,14.20353011478249,-0.38307624953069713,-0.38307624953069713,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.25,24,False,False,14.098859805874083,-0.5055419828443346,-0.5055419828443346,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.5,48,False,False,14.346213182955529,-0.21613505333587804,-0.21613505333587804,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,1.0,96,True,False,14.40008181378467,-0.15310799775638714,-0.15310799775638714,24.337964039991977
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,2.0,192,True,False,14.114204520759612,-0.4875884506484066,-0.4875884506484066,24.337964039991977
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,0.0,0,False,False,25.150185508790123,9.320966662086667,9.320966662086667,27.52745717851034
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,0.125,24,False,False,22.103933562995145,5.630494165580132,5.630494165580132,27.52745717851034
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,0.25,48,False,False,20.524048102653374,3.716494948584875,3.716494948584875,27.52745717851034
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,0.5,96,False,False,14.250768163701558,-3.8834565621710926,-3.8834565621710926,27.52745717851034
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,1.0,192,True,False,7.471381843915196,-12.0965456964761,-12.0965456964761,27.52745717851034
