key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
TimesNet__ETTh1__h96__s2021,TimesNet,ETTh1,96,2785,200,96,96,2689,False,san_lite,fredf,True,0.40356125710577095,0.4248348514900282,0.4105968223091571,0.39869534476688245,0.3716026404591997,0.4011663587375306,-1.7433698303513685,3.351426826424518,6.152863078771627,7.919148848848959,-22.014611211029518,2.8014362523471092,5.571222010018508,-2.350761315400588,0.8642618073633321,4,6.049960586525413e-14
TimesNet__ETTh1__h192__s2021,TimesNet,ETTh1,192,2689,200,192,192,2497,False,san_lite,fredf,True,0.5324864171603512,0.5297284952559183,0.48597329339959117,0.4770714548059497,0.4460699268171775,0.4723143420209396,8.735081733862488,8.259929803305338,9.940382841672488,16.22886285134823,53.824361039786176,1.6804530383671494,10.838411327510862,-2.891919673702627,0.698438125750901,3,2.7799187766029497e-71
TimesNet__ETTh1__h336__s2021,TimesNet,ETTh1,336,2545,200,336,336,2209,False,none,fredf,True,0.5544676777732593,0.5544676777732593,0.5270285951762029,0.5149311442324456,0.49250171025612066,0.5250969010410723,4.948725362531897,4.948725362531897,7.13053891608634,11.17575829954274,44.28089110207864,2.1818135535544423,5.297112511605187,-0.36787384029444875,0.8207333635129017,2,2.668721897255031e-43
TimesNet__ETTh1__h720__s2021,TimesNet,ETTh1,720,2161,200,720,720,1441,False,san_lite,fredf,True,0.7245411441857247,0.7076273425886153,0.611800758231439,0.5919478608658544,0.5700367820047819,0.594786679409677,15.560246213599555,13.541956138451592,16.347514399234935,21.324442845046324,72.96906337280224,2.805558260783343,15.946340169105028,-2.8605346102605673,0.9340735600277585,4,8.002262894186499e-29
TimesNet__ETTh2__h96__s2021,TimesNet,ETTh2,96,2785,200,96,96,2689,False,san_lite,fredf,True,0.34670110865900977,0.331527772830926,0.323296667530706,0.31297605631297387,0.28840187378574056,0.31970376546424356,6.750610408706588,2.482780018672187,5.595825761287653,16.815416339046088,40.14536585047615,3.113045742615466,3.5665209178951134,-1.1238222550284778,0.9308293045741911,3,0.004031290776091103
TimesNet__ETTh2__h192__s2021,TimesNet,ETTh2,192,2689,200,192,192,2497,False,fredf,fredf,False,0.4416611046180827,0.4098987412580405,0.4320003313747558,0.40336639291771326,0.3744844010813646,0.4098987412580405,2.187372431552243,-5.391963402675575,1.59364928037167,15.210011213157582,14.38113621919931,6.985612683047245,0.0,-5.391963402675575,0.9179014817781338,3,7.986697186152702e-58
TimesNet__ETTh2__h336__s2021,TimesNet,ETTh2,336,2545,200,336,336,2209,False,san_lite,fredf,True,0.5287100008375616,0.5324637145950762,0.539788339825009,0.49630866911736155,0.45737651797266987,0.504718191881237,-2.0953526450940108,-1.3756102113904851,6.790142593123307,13.491986675446483,-15.530349202596557,8.165752804513792,5.2107818717538,-6.948461241903217,0.9583521955636034,3,3.453167506118298e-15
TimesNet__ETTh2__h720__s2021,TimesNet,ETTh2,720,2161,200,720,720,1441,False,san_lite,none,True,0.6018697597929209,0.6176990944424244,0.6290448020308651,0.550564878314506,0.5299792992291064,0.6018697597929209,-4.5151034415234435,-1.8367693413349873,10.86843363246461,11.944521118394402,-37.800623371224475,12.705202973799597,2.56262876081541,-4.5151034415234435,0.45107564191533656,2,3.044220917409993e-13
TimesNet__ETTm1__h96__s2021,TimesNet,ETTm1,96,11425,200,96,96,11329,False,none,none,False,0.3361525413006352,0.3361525413006352,0.34039773907512755,0.3297748788803229,0.29456335799014727,0.3361525413006352,-1.262878381955486,-1.262878381955486,1.897252478180586,12.372116286685838,-10.207456450147966,3.1601308601360723,0.0,-1.262878381955486,0.7066819666343014,3,1.6690385357137417e-27
TimesNet__ETTm1__h192__s2021,TimesNet,ETTm1,192,11329,200,192,192,11137,False,san_lite,none,True,0.38720838692518583,0.38775239046872106,0.3874963220863493,0.3673427920800903,0.338337860027437,0.38720838692518583,-0.07436180901173971,0.06603914989706286,5.263564813593205,12.621246994597026,-0.589179571892154,5.197525663696142,0.14029663179541696,-0.07436180901173971,0.7708539103887941,3,4.790745955671255e-06
TimesNet__ETTm1__h336__s2021,TimesNet,ETTm1,336,11185,200,336,336,10849,False,san_lite,fredf,True,0.43476797914612686,0.4280587366787022,0.41077356546408506,0.3957857723102414,0.3742091618392454,0.4031222806902665,5.518900846633422,4.038037244302501,7.539377567384926,13.92899666292769,39.62166823710251,3.5013403230824247,5.825475303192927,-1.8980059253232706,0.7733431652686884,3,9.873271193181106e-136
TimesNet__ETTm1__h720__s2021,TimesNet,ETTm1,720,10801,200,720,720,10081,False,fredf,fredf,False,0.5274221700192231,0.5150795393390512,0.5206295211005219,0.5006621905264667,0.48753304864670616,0.5150795393390512,1.2878959787452215,-1.0774999466260395,2.7990529057040034,7.563034631439073,17.02882561662788,3.876552852330043,0.0,-1.0774999466260395,0.5273286380319413,2,0.1560571060049457
TimesNet__ETTm2__h96__s2021,TimesNet,ETTm2,96,11425,200,96,96,11329,False,fredf,fredf,False,0.1886552524641031,0.17924158634158058,0.18121524475829248,0.17826114568531498,0.16125697634870204,0.17924158634158058,3.9437055733112234,-1.1011163519495377,0.5469939628807465,14.522933105437456,27.15502126557851,1.6481103148302843,0.0,-1.1011163519495377,0.8512666607820637,3,2.2564532467510024e-18
TimesNet__ETTm2__h192__s2021,TimesNet,ETTm2,192,11329,200,192,192,11137,False,fredf,fredf,False,0.2664690943356395,0.2544920977796763,0.2632415118397535,0.24969794016200647,0.22646287465152787,0.2544920977796763,1.2112408397382441,-3.4379904666499725,1.8838139413670425,15.013455794453368,8.067701775599549,5.321804408017015,0.0,-3.4379904666499725,0.7632216934542516,3,8.487994005695243e-164
TimesNet__ETTm2__h336__s2021,TimesNet,ETTm2,336,11185,200,336,336,10849,False,fredf,fredf,False,0.32416045676110933,0.316157193680531,0.3236439291129234,0.30829464416088725,0.28619796767795136,0.316157193680531,0.1593432010015339,-2.3680420948870915,2.4869114721342735,11.711017889827751,1.3606263989720555,4.854953567021365,0.0,-2.3680420948870915,0.7413586505668726,3,6.917111994724793e-72
TimesNet__ETTm2__h720__s2021,TimesNet,ETTm2,720,10801,200,720,720,10081,False,none,fredf,True,0.5111453521949806,0.5111453521949806,0.4540709290243652,0.428881958015422,0.39253874522453797,0.4390315600947934,11.165986920435156,11.165986920435156,16.09393371692395,23.204085972979193,48.12077895825604,4.9279467964887935,14.108275031822597,-3.4255780897141723,0.8400952286479516,3,7.434391208502889e-237
TimesNet__Electricity__h96__s2021,TimesNet,Electricity,96,5165,200,96,96,5069,False,none,none,False,0.17925512983521946,0.17925512983521946,0.1807144009198609,0.17961874946402148,0.17622878068966563,0.17925512983521946,-0.8140749366418362,-0.8140749366418362,-0.20285033356325663,1.6882915140665282,-48.21886087740895,0.6112246030785795,0.0,-0.8140749366418362,0.257447228250148,3,1.7340205480865723e-93
