key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.25,24,False,False,14.098859805874083,-0.5055419828443346,-0.5055419828443346,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,0.5,48,False,False,14.346213182955529,-0.21613505333587804,-0.21613505333587804,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,1.0,96,True,False,14.40008181378467,-0.15310799775638714,-0.15310799775638714,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,3000,2.0,192,True,False,14.098117075827496,-0.5064109874432301,-0.5064109874432301,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.0,0,False,False,14.548233571377898,0.020231641961648433,0.020231641961648433,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.125,12,False,False,14.20353011478249,-0.38307624953069713,-0.38307624953069713,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.25,24,False,False,14.098859805874083,-0.5055419828443346,-0.5055419828443346,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,0.5,48,False,False,14.346213182955529,-0.21613505333587804,-0.21613505333587804,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,1.0,96,True,False,14.40008181378467,-0.15310799775638714,-0.15310799775638714,23.942325064299233
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,192,2593,1000000000,2.0,192,True,False,14.098117075827496,-0.5064109874432301,-0.5064109874432301,23.942325064299233
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,384,2305,50,0.0,0,False,False,24.794146134225247,8.889632175351638,8.889632175351638,27.205158941281326
