key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
DLinear__Weather__h336__s2021,DLinear,Weather,336,10204,200,336,336,9868,False,none,fredf,True,0.28184431905993745,0.28184431905993745,0.28257375732396456,0.268428361599787,0.2575488217483812,0.2793371385853567,-0.2588089291483619,-0.2588089291483619,4.760059562261318,8.620183437617333,-3.0023598802816847,5.01886849140968,0.8895621820352125,-1.158678274928799,0.6018443453587353,4,4.0312264555266865e-08
DLinear__Weather__h720__s2021,DLinear,Weather,720,9820,200,720,720,9100,False,none,fredf,True,0.35114562518976544,0.35114562518976544,0.35337420720566104,0.33085465509321665,0.3197305635633049,0.3473562372958922,-0.6346603391925743,-0.6346603391925743,5.778505736907699,8.946448246192386,-7.093992182232584,6.413166076100273,1.0791499657199448,-1.732506649830258,0.6175824175824176,4,0.0745372278475388
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,2785,200,96,96,2689,False,revin,none,True,0.38931283770927755,0.38931298023176353,0.39975153950454134,0.3877014664994735,0.3730085433504758,0.38931283770927755,-2.6813145584046127,-2.68127696809307,0.413937837707471,4.187967305341019,-64.02424763012384,3.0952148058005413,3.660871669227866e-05,-2.6813145584046127,0.7463741167720342,4,3.390785288153139e-19
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,2689,200,192,192,2497,False,none,none,False,0.43907756294829875,0.43907756294829875,0.45122628348991783,0.43553534370925745,0.4206665317905775,0.43907756294829875,-2.7668734562558197,-2.7668734562558197,0.8067411177305654,4.193115911925386,-65.98609516699598,3.573614573986385,0.0,-2.7668734562558197,0.4801762114537445,3,5.400526370178411e-41
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,2545,200,336,336,2209,False,none,none,False,0.494042986790591,0.494042986790591,0.4948243247054183,0.48939333536361557,0.474170871257728,0.494042986790591,-0.1581518077812368,-0.1581518077812368,0.9411430890196725,4.022345436358948,-3.931830576849668,1.0992948968009093,0.0,-0.1581518077812368,0.47578089633318243,3,0.0934938140804674
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,2161,200,720,720,1441,False,none,san_lite,True,0.5222119798807532,0.5222119798807532,0.5207811900098485,0.5182599688593833,0.5035804217470594,0.5180525953243541,0.273986412802844,0.273986412802844,0.7567829106993591,3.5678151500684834,7.679389241420746,0.4827964978965151,0.7964935153998018,-0.5267022518786358,0.5315752949340735,2,0.6513225355073864
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2785,200,96,96,2689,False,none,none,False,0.29457263622880425,0.29457263622880425,0.3014498778953788,0.29233566778284237,0.27298393330057785,0.29457263622880425,-2.3346505481960063,-2.3346505481960063,0.7593945162702633,7.3288215784525415,-31.855742742489014,3.0940450644662696,0.0,-2.3346505481960063,0.5582000743770918,3,6.390578721676352e-14
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2689,200,192,192,2497,False,none,none,False,0.3923403812534316,0.3923403812534316,0.39724741059604957,0.3899375690333023,0.36612216443640977,0.3923403812534316,-1.2507071861756047,-1.2507071861756047,0.6124305156779462,6.682518055672536,-18.716106349555215,1.8631377018535509,0.0,-1.2507071861756047,0.6928313976772127,3,0.9058259205892444
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2545,200,336,336,2209,False,none,san_lite,True,0.46693896776130156,0.46693896776130156,0.4661981245277693,0.461559390049679,0.43486602903221894,0.46476313389834367,0.15865954325520576,0.15865954325520576,1.1520944027016982,6.868764644506939,2.309870136213526,0.9934348594464923,0.4659782141090248,-0.3087574131334676,0.7958352195563604,3,0.9879501508380885
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2161,200,720,720,1441,False,san_lite,san_lite,False,0.5244383022116754,0.5231124813320073,0.5194046522783455,0.5164614807889331,0.48549773629385096,0.5231124813320073,0.9598173726236706,0.7088014883937317,1.271428379251434,7.425194871070439,12.926494041773912,0.5626268908577023,0.0,0.7088014883937317,0.6925746009715475,3,0.9158253732857958
