key,backbone,dataset,pred_len,gain_full,gain_drop_w_pc,delta_drop_w_pc,gain_drop_w_ns,delta_drop_w_ns,gain_drop_w_fr,delta_drop_w_fr,gain_drop_w_sd,delta_drop_w_sd,gain_drop_w_ch,delta_drop_w_ch
iTransformer__ETTm2__h192__s2021,iTransformer,ETTm2,192,-3.9574138115152153,-3.2288718315671976,0.7285419799480177,-2.796683059926037,1.1607307515891785,-3.811229664282299,0.1461841472329164,-4.696976435660091,-0.7395626241448761,-3.5966856691979507,0.3607281423172646
iTransformer__ETTm2__h336__s2021,iTransformer,ETTm2,336,-2.14415275654889,-1.8591512971201096,0.2850014594287802,-2.3205187530301634,-0.1763659964812736,-2.1123859897737316,0.03176676677515822,-2.1567829430373817,-0.012630186488491901,-1.7509216197710262,0.3932311367778636
iTransformer__ETTm2__h720__s2021,iTransformer,ETTm2,720,-0.9858349489194326,-0.8640268558663802,0.1218080930530524,-0.9115489525741259,0.07428599634530664,-0.4562236165830662,0.5296113323363664,-0.05107552007439764,0.9347594288450349,-0.5967180029598195,0.3891169459596131
iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,-1.786960360364413,-1.596868700382665,0.19009165998174815,-2.355993352322971,-0.5690329919585579,-1.7361036686504032,0.05085669171400986,-1.4011322022889483,0.3858281580754648,-0.37914249630526325,1.4078178640591499
iTransformer__Electricity__h192__s2021,iTransformer,Electricity,192,-0.5194811389835033,-0.6257230478565352,-0.10624190887303187,-1.64103339177966,-1.1215522527961568,-0.6463547688061919,-0.12687362982268857,-0.9974468977421586,-0.4779657587586552,-0.140662589380706,0.37881854960279737
iTransformer__Electricity__h336__s2021,iTransformer,Electricity,336,-1.119598463226772,-0.436267539460733,0.683330923766039,-1.307327026250702,-0.18772856302393004,-1.168733809605996,-0.04913534637922412,-0.7451593337812193,0.3744391294455526,-0.2936835321650303,0.8259149310617416
iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,-1.5652844394444936,-1.4319892742136853,0.1332951652308083,-1.9382288822773146,-0.372944442832821,-1.304337492433529,0.26094694701096466,-0.9569177630467811,0.6083666763977125,-1.46797724513126,0.09730719431323354
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,10.084476326471043,7.917745376974774,-2.1667309494962685,5.656189454735695,-4.428286871735348,7.737106663431566,-2.3473696630394763,7.5832092265712046,-2.501267099899838,10.814514914628363,0.7300385881573206
iTransformer__Exchange__h192__s2021,iTransformer,Exchange,192,-0.7957779281021092,-0.07146235978881045,0.7243155683132988,0.11067698607839485,0.9064549141805041,-0.4337450991586531,0.3620328289434561,0.10544592458531855,0.9012238526874278,-0.9544686258051562,-0.158690697703047
iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,-0.935201478134275,-0.18347121611703351,0.7517302620172415,-1.132008665800943,-0.19680718766666794,-0.5922957939522637,0.3429056841820113,-0.5966655482310357,0.33853592990323933,-0.9968334352514665,-0.061631957117191494
iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,-1.3873356460932789,-1.4164498766757112,-0.029114230582432343,-0.04945336164794707,1.3378822844453317,-1.3873356460932789,0.0,-2.854226962748059,-1.4668913166547803,-1.3873356460932789,0.0
iTransformer__ILI__h24__s2021,iTransformer,ILI,24,-4.172252975832602,-4.590494511500237,-0.41824153566763567,-3.688121576105998,0.4841313997266039,-4.189456345649615,-0.01720336981701376,-3.669925639969494,0.5023273358631077,-4.172252975832602,0.0
iTransformer__ILI__h36__s2021,iTransformer,ILI,36,-2.397823910362522,-1.7558247945071688,0.6419991158553533,-3.3337128164609546,-0.9358889060984326,-1.9942907340645164,0.40353317629800567,-0.16997636372415287,2.2278475466383694,-2.397823910362522,0.0
iTransformer__ILI__h48__s2021,iTransformer,ILI,48,-0.5535618234407214,-0.613865970808909,-0.06030414736818768,-0.043999365026150386,0.5095624584145709,-1.9685145011073588,-1.4149526776666375,-0.10973643122568724,0.44382539221503414,-0.5519130477281106,0.001648775712610795
